"unit","period","outcome","treatment","outcome_model"
0,0,0.961992035868245,0,0.07
0,1,0.936330574454697,0,0.1
0,2,0.844978158200847,0,0.13
0,3,0.817917195101247,0,0.16
0,4,0.548452034400798,0,0.19
0,5,0.258023555098274,0,0.22
0,6,0.0407323003736378,0,0.25
0,7,-0.198650796493418,0,0.28
0,8,-0.592339842974188,0,0.31
0,9,-0.697697655540323,0,0.34
0,10,-0.720269978829904,0,0.37
0,11,-0.961319376581211,0,0.4
0,12,-0.884080216391607,0,0.43
0,13,-0.879120411480349,0,0.46
1,0,0.0630747516132413,0,0.11
1,1,0.514730590573597,0,0.14
1,2,0.967554306940077,0,0.17
1,3,0.902089513523433,0,0.2
1,4,0.705711949752021,0,0.23
1,5,0.390543528940006,0,0.26
1,6,-0.0288509875338874,0,0.29
1,7,-0.483506684504058,0,0.32
1,8,-0.832561759887801,0,0.35
1,9,-0.856817338853849,0,0.38
1,10,-0.774102799778095,0,0.41
1,11,-0.647425380793201,0,0.44
1,12,-0.205180646589941,0,0.47
1,13,0.356740361907564,0,0.5
2,0,-0.552602013904059,0,0.15
2,1,-0.347454616088962,0,0.18
2,2,-0.0224314981320643,0,0.21
2,3,0.0792918215520423,0,0.24
2,4,0.107454191192517,0,0.27
2,5,0.0536173273782044,0,0.3
2,6,-0.183728469760018,0,0.33
2,7,-0.164803999913175,0,0.36
2,8,-0.195241029530419,0,0.39
2,9,-0.232732131932848,0,0.42
2,10,-0.0172036608835877,0,0.45
2,11,0.0538284103501269,0,0.48
2,12,0.420679315032692,0,0.51
2,13,0.769994665666668,0,0.54
3,0,1.25886248272999,0,0.19
3,1,0.954120266073339,0,0.22
3,2,0.54391907944858,0,0.25
3,3,0.0286131619162023,0,0.28
3,4,0.169966878330495,0,0.31
3,5,0.249749014134755,0,0.34
3,6,0.163492253978493,0,0.37
3,7,0.241998150203097,0,0.4
3,8,-0.030296873269808,0,0.43
3,9,0.0439671268426398,0,0.46
3,10,-0.210083410566682,0,0.49
3,11,-0.555298698386617,0,0.52
3,12,-1.04963998732068,0,0.55
3,13,-1.57780055003909,0,0.58
4,0,0.138928513012281,0,0.23
4,1,0.820831517210401,0,0.26
4,2,1.2871974321166,0,0.29
4,3,1.27584733970286,0,0.32
4,4,1.20798957764469,0,0.35
4,5,0.636072883143907,0,0.38
4,6,0.0149898726550742,0,0.41
4,7,-0.700425150069223,0,0.44
4,8,-1.2306352624024,0,0.47
4,9,-1.57034811080768,0,0.5
4,10,-1.33520023095342,0,0.53
4,11,-1.0059319643309,0,0.56
4,12,-0.183803509839463,0,0.59
4,13,0.638545585147603,0,0.62
5,0,-0.42443158128981,0,0.27
5,1,-0.618724051042636,0,0.3
5,2,-0.554952070949613,0,0.33
5,3,-0.731080232536255,0,0.36
5,4,-0.354921621818474,0,0.39
5,5,-0.198776912037975,0,0.42
5,6,0.113378827264815,0,0.45
5,7,0.287031096048429,0,0.48
5,8,0.440432793040486,0,0.51
5,9,0.507342010724014,0,0.54
5,10,0.706917520052215,0,0.57
5,11,0.563001781050211,0,0.6
5,12,0.347970886544529,0,0.63
5,13,0.145777083474141,0,0.66
6,0,-1.72172656785837,0,0.31
6,1,-1.91915381640951,0,0.34
6,2,-2.11635780277917,0,0.37
6,3,-1.79548204392609,0,0.4
6,4,-1.42086582632274,0,0.43
6,5,-0.775293683001831,0,0.46
6,6,-0.0120854559866918,0,0.49
6,7,0.711274513649716,0,0.52
6,8,1.33560462613305,0,0.55
6,9,1.63729234517653,0,0.58
6,10,1.78787117043704,0,0.61
6,11,1.90542899563094,0,0.64
6,12,1.50193208442432,0,0.67
6,13,1.04813728398321,0,0.7
7,0,-2.316435638285,0,0.35
7,1,-2.54434218665773,0,0.38
7,2,-2.702478874932,0,0.41
7,3,-2.48145001553824,0,0.44
7,4,-1.81988854071104,0,0.47
7,5,-1.08861576175588,0,0.5
7,6,-0.24966908071759,0,0.53
7,7,0.80697282416609,0,0.56
7,8,1.49097097914441,0,0.59
7,9,2.00413820027816,0,0.62
7,10,2.39495605007548,0,0.65
7,11,2.19833931170729,0,0.68
7,12,1.89619035654635,0,0.71
7,13,1.64918148860132,0,0.74
8,0,-0.516385163484373,0,0.39
8,1,-0.516037298481136,0,0.42
8,2,-0.497801195566902,0,0.45
8,3,-0.550823392329437,0,0.48
8,4,0.520547287512401,0,0.51
8,5,-0.281416944534573,0,0.54
8,6,-0.203983218517544,0,0.57
8,7,-0.0742035693570249,0,0.6
8,8,0.244220487329217,0,0.63
8,9,1.21839115124833,0,0.66
8,10,0.122172875320416,1,0.69
8,11,0.0737113662066267,1,0.72
8,12,0.0371759546282103,1,0.75
8,13,0.599516967952415,1,0.78
9,0,-0.402303196604537,0,0.43
9,1,-0.340377821426947,0,0.46
9,2,-0.293608025119536,0,0.49
9,3,0.0191041890554803,0,0.52
9,4,1.06528810789205,0,0.55
9,5,-0.083682187425636,0,0.58
9,6,-0.0222836491469472,0,0.61
9,7,0.0701016415931459,0,0.64
9,8,0.668869712894646,0,0.67
9,9,0.116507144946308,0,0.7
9,10,0.261601444933,1,0.73
9,11,0.243962827009085,1,0.76
9,12,0.301987620815124,1,0.79
9,13,1.2520730092007,1,0.82
10,0,-0.123771779442214,0,0.47
10,1,-0.118640412989035,0,0.5
10,2,-0.0891810336242006,0,0.53
10,3,0.454964692643362,0,0.56
10,4,0.026314506873927,0,0.59
10,5,0.107557276683182,0,0.62
10,6,0.200598841528216,0,0.65
10,7,0.315205519402504,0,0.68
10,8,1.22380431110524,0,0.71
10,9,0.405449651671056,0,0.74
10,10,0.525378892991242,1,0.77
10,11,0.458451827078553,1,0.8
10,12,0.730238437275225,1,0.83
10,13,1.61262959081368,1,0.86
