"balance","unit_target","time_target","balance_on","unit_loss","unit_penalty","zeta_omega","zeta_lambda","att"
"unit","cohort","all","raw","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.174593966419743
"time","cohort","all","raw","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.376320600951664
"double","cohort","all","raw","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.470335768767511
"unit","individual","all","raw","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.214074613545926
"time","individual","all","raw","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.376320600951664
"double","individual","all","raw","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.502922789385396
"unit","cohort","period","raw","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.174593966419743
"time","cohort","period","raw","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.288865679407669
"double","cohort","period","raw","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.387697826340264
"unit","individual","period","raw","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.214074613545926
"time","individual","period","raw","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.288865679407669
"double","individual","period","raw","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.420908641944967
"unit","cohort","all","residual","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.174593966419743
"time","cohort","all","residual","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.376320601080276
"double","cohort","all","residual","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.470335768874428
"unit","individual","all","residual","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.214074613545926
"time","individual","all","residual","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.376320601080276
"double","individual","all","residual","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.502922789489372
"unit","cohort","period","residual","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.174593966419743
"time","cohort","period","residual","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.288865679349935
"double","cohort","period","residual","ridge",1e-04,0.728398190059413,3.91357396716267e-07,-0.387697826292319
"unit","individual","period","residual","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.214074613545926
"time","individual","period","residual","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.288865679349935
"double","individual","period","residual","ridge",1e-04,0.553462938171173,3.91357396716267e-07,-0.420908641898226
"unit","cohort","all","raw","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.381313379194599
"time","cohort","all","raw","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.376320600951664
"double","cohort","all","raw","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.641587625203806
"unit","individual","all","raw","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.343162332932478
"time","individual","all","raw","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.376320600951664
"double","individual","all","raw","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.62952276041444
"unit","cohort","period","raw","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.381313379194599
"time","cohort","period","raw","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.288865679407669
"double","cohort","period","raw","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.562706699728471
"unit","individual","period","raw","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.343162332932478
"time","individual","period","raw","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.288865679407669
"double","individual","period","raw","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.538602826531378
"unit","cohort","all","residual","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.381431120916273
"time","cohort","all","residual","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.376320601080276
"double","cohort","all","residual","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.641690222170233
"unit","individual","all","residual","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.343194394126197
"time","individual","all","residual","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.376320601080276
"double","individual","all","residual","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.629538410928268
"unit","cohort","period","residual","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.381431120916273
"time","cohort","period","residual","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.288865679349935
"double","cohort","period","residual","penalized_scm",1e-04,0.728398190059413,3.91357396716267e-07,-0.562813014253306
"unit","individual","period","residual","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.343194394126197
"time","individual","period","residual","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.288865679349935
"double","individual","period","residual","penalized_scm",1e-04,0.553462938171173,3.91357396716267e-07,-0.538619688143509
