"unit","period","outcome","treatment"
0,0,-1.00390566771679,0
0,1,-1.0806192288932,0
0,2,-1.0850815124595,0
0,3,-1.24414548926628,0
0,4,-1.74800869687049,0
0,5,-2.53505494945092,0
0,6,-3.28331087560074,0
0,7,-3.64127365184881,0
0,8,-3.51078952632514,0
0,9,-3.13729592557096,0
1,0,-1.29557142939229,0
1,1,-1.78380135000602,0
1,2,-1.67241252521525,0
1,3,-1.30355441079548,0
1,4,-1.2959544789001,0
1,5,-1.45716993652677,0
1,6,-1.6753456103493,0
1,7,-2.06903724732572,0
1,8,-2.24731736475947,0
1,9,-2.22333856024694,0
2,0,-1.42922881552237,0
2,1,-1.95162698252185,0
2,2,-1.80690044373745,0
2,3,-1.39984200044098,0
2,4,-0.781547797947885,0
2,5,-0.600754160728305,0
2,6,-0.470263678086218,0
2,7,-0.80791145642446,0
2,8,-0.979096375026746,0
2,9,-1.57801665383791,0
3,0,-1.03826688356597,0
3,1,-1.19049523086117,0
3,2,-1.20695994883484,0
3,3,-0.819162603955109,0
3,4,-0.34167324023375,0
3,5,-0.274551452701575,0
3,6,-0.163772040828142,0
3,7,-0.246457702795461,0
3,8,-0.538315746710561,0
3,9,-0.641965014677472,0
4,0,-0.238407272624813,0
4,1,-0.0819917225369283,0
4,2,0.135368723830112,0
4,3,0.190924730879106,0
4,4,-0.00643503543128878,0
4,5,-0.295811337486705,0
4,6,-0.43949149702649,0
4,7,-0.357613439137672,0
4,8,-0.147501766672144,0
4,9,0.0748360005825303,0
5,0,0.478689737869065,0
5,1,0.901744632911512,0
5,2,1.02261317198022,0
5,3,0.806169246390329,0
5,4,0.343972539517598,0
5,5,-0.15748169474012,0
5,6,-0.450317629966142,0
5,7,-0.357300162655204,0
5,8,0.136415262170071,0
5,9,0.868841195585331,0
6,0,0.697455421655561,0
6,1,1.16748956063496,0
6,2,1.30940106371976,0
6,3,1.14213159060179,0
6,4,0.807622420753828,0
6,5,0.506051103140346,0
6,6,0.414514853169757,0
6,7,0.623388826499945,0
6,8,1.11008206915916,0
6,9,1.7525373561928,0
7,0,0.460484576076683,0
7,1,0.549569361985348,0
7,2,0.670588953902615,0
7,3,0.999002780778471,0
7,4,1.32034805202036,0
7,5,1.5828387609503,0
7,6,1.97611180743561,0
7,7,2.35887753682749,0
7,8,2.43998880265696,0
7,9,2.40851506574897,0
8,0,0.229374061836277,0
8,1,0.12410809214937,0
8,2,0.447336696795145,0
8,3,0.788605100827032,0
8,4,1.74767324601324,0
8,5,2.58589307274928,0
8,6,3.43102037640547,0
8,7,4.3985190804642,1
8,8,4.21365197051373,1
8,9,3.95694594754555,1
9,0,0.460332778031902,0
9,1,0.665497681399382,0
9,2,0.716265037132514,0
9,3,1.33299644198017,0
9,4,2.07747294062269,0
9,5,3.10012719255447,0
9,6,4.08264966280704,0
9,7,4.99495033192333,1
9,8,5.08754160234743,1
9,9,4.64231701956338,1
10,0,1.18474530423966,0
10,1,1.73371055293136,0
10,2,2.03346306728904,0
10,3,2.13368369316414,0
10,4,2.4373444799188,0
10,5,3.16286362553141,0
10,6,3.97012490198667,0
10,7,5.0398598943665,1
10,8,5.23462401175363,1
10,9,5.47668691300002,1
11,0,1.98031706278934,0
11,1,2.80005916811421,0
11,2,3.02842054469224,0
11,3,2.9272956378687,0
11,4,2.91180200896781,0
11,5,3.22816094087997,0
11,6,3.82211321285717,0
11,7,5.08215147262645,1
11,8,5.68963640654612,1
11,9,6.32407527837848,1
