"model","unit","period","counterfactual"
"fe",0,0,-2.62488766033743
"fe",0,1,-2.51091885520153
"fe",0,2,-2.36604733071923
"fe",0,3,-2.20254717330779
"fe",0,4,-2.04267119660788
"fe",0,5,-1.9282966361295
"fe",0,6,-1.73088644291006
"fe",0,7,-2.40366980176265
"fe",0,8,-2.30857072034365
"fe",0,9,-2.15098970668312
"fe",1,0,-2.10028939928887
"fe",1,1,-1.98632059415298
"fe",1,2,-1.84144906967068
"fe",1,3,-1.67794891225924
"fe",1,4,-1.51807293555933
"fe",1,5,-1.40369837508095
"fe",1,6,-1.20628818186151
"fe",1,7,-1.8790715407141
"fe",1,8,-1.7839724592951
"fe",1,9,-1.62639144563457
"fe",2,0,-1.57845794436456
"fe",2,1,-1.46448913922866
"fe",2,2,-1.31961761474636
"fe",2,3,-1.15611745733492
"fe",2,4,-0.996241480635013
"fe",2,5,-0.881866920156633
"fe",2,6,-0.684456726937191
"fe",2,7,-1.35724008578979
"fe",2,8,-1.26214100437078
"fe",2,9,-1.10455999071026
"fe",3,0,-1.04410109445355
"fe",3,1,-0.930132289317652
"fe",3,2,-0.78526076483535
"fe",3,3,-0.621760607423911
"fe",3,4,-0.461884630724
"fe",3,5,-0.347510070245619
"fe",3,6,-0.150099877026177
"fe",3,7,-0.822883235878775
"fe",3,8,-0.727784154459771
"fe",3,9,-0.570203140799245
"fe",4,0,-0.51455136949957
"fe",4,1,-0.400582564363676
"fe",4,2,-0.255711039881374
"fe",4,3,-0.0922108824699355
"fe",4,4,0.0676650942299757
"fe",4,5,0.182039654708356
"fe",4,6,0.379449847927798
"fe",4,7,-0.293333510924799
"fe",4,8,-0.198234429505796
"fe",4,9,-0.0406534158452692
"fe",5,0,-0.0386044780308749
"fe",5,1,0.0753643271050194
"fe",5,2,0.220235851587321
"fe",5,3,0.38373600899876
"fe",5,4,0.543611985698671
"fe",5,5,0.657986546177052
"fe",5,6,0.855396739396494
"fe",5,7,0.182613380543896
"fe",5,8,0.2777124619629
"fe",5,9,0.435293475623426
"fe",6,0,0.55512831861565
"fe",6,1,0.669097123751544
"fe",6,2,0.813968648233846
"fe",6,3,0.977468805645285
"fe",6,4,1.1373447823452
"fe",6,5,1.25171934282358
"fe",6,6,1.44912953604302
"fe",6,7,0.776346177190421
"fe",6,8,0.871445258609424
"fe",6,9,1.02902627226995
"fe",7,0,1.07869346190114
"fe",7,1,1.19266226703703
"fe",7,2,1.33753379151934
"fe",7,3,1.50103394893077
"fe",7,4,1.66090992563069
"fe",7,5,1.77528448610907
"fe",7,6,1.97269467932851
"fe",7,7,1.29991132047591
"fe",7,8,1.39501040189491
"fe",7,9,1.55259141555544
"fe",8,0,0.912293188518178
"fe",8,1,1.02626199365407
"fe",8,2,1.17113351813637
"fe",8,3,1.33463367554781
"fe",8,4,1.49450965224772
"fe",8,5,1.6088842127261
"fe",8,6,1.80629440594555
"fe",8,7,1.13351104709295
"fe",8,8,1.22861012851195
"fe",8,9,1.38619114217248
"fe",9,0,1.35248334391137
"fe",9,1,1.46645214904726
"fe",9,2,1.61132367352957
"fe",9,3,1.77482383094101
"fe",9,4,1.93469980764092
"fe",9,5,2.0490743681193
"fe",9,6,2.24648456133874
"fe",9,7,1.57370120248614
"fe",9,8,1.66880028390514
"fe",9,9,1.82638129756567
"fe",10,0,1.95542532827322
"fe",10,1,2.06939413340911
"fe",10,2,2.21426565789141
"fe",10,3,2.37776581530285
"fe",10,4,2.53764179200276
"fe",10,5,2.65201635248114
"fe",10,6,2.84942654570059
"fe",10,7,2.17664318684799
"fe",10,8,2.27174226826699
"fe",10,9,2.42932328192752
"fe",11,0,2.53288717843155
"fe",11,1,2.64685598356745
"fe",11,2,2.79172750804975
"fe",11,3,2.95522766546119
"fe",11,4,3.1151036421611
"fe",11,5,3.22947820263948
"fe",11,6,3.42688839585892
"fe",11,7,2.75410503700633
"fe",11,8,2.84920411842533
"fe",11,9,3.00678513208586
"ife",0,0,-1.04340212350226
"ife",0,1,-1.13613301677453
"ife",0,2,-1.08706141950083
"ife",0,3,-1.18335438299319
"ife",0,4,-1.69304075329542
"ife",0,5,-2.53487379167446
"ife",0,6,-3.27226423192592
"ife",0,7,-3.68554996449801
"ife",0,8,-3.53662845696826
"ife",0,9,-3.09717738286997
"ife",1,0,-1.34987001468932
"ife",1,1,-1.70947863928139
"ife",1,2,-1.64038089280532
"ife",1,3,-1.38009590340017
"ife",1,4,-1.24153246661432
"ife",1,5,-1.47100432888045
"ife",1,6,-1.7046488215169
"ife",1,7,-2.043791415832
"ife",1,8,-2.18720339182
"ife",1,9,-2.29549703867747
"ife",2,0,-1.42475727034259
"ife",2,1,-1.93959244069358
"ife",2,2,-1.85377142005981
"ife",2,3,-1.36164892126559
"ife",2,4,-0.792616243050925
"ife",2,5,-0.6006906781303
"ife",2,6,-0.480924365054814
"ife",2,7,-0.74724187101514
"ife",2,8,-1.07141807477218
"ife",2,9,-1.53252707988925
"ife",3,0,-0.974329217464723
"ife",3,1,-1.26766669432267
"ife",3,2,-1.16382115993325
"ife",3,3,-0.800824078539157
"ife",3,4,-0.405139389247091
"ife",3,5,-0.276208814031601
"ife",3,6,-0.162137709208266
"ife",3,7,-0.287246175319651
"ife",3,8,-0.442054724895565
"ife",3,9,-0.682191902202076
"ife",4,0,-0.159886553579667
"ife",4,1,-0.035784881801763
"ife",4,2,0.0821894811553039
"ife",4,3,0.1063006454223
"ife",4,4,-0.0335488842470771
"ife",4,5,-0.278317588989752
"ife",4,6,-0.411147077423668
"ife",4,7,-0.386236878063376
"ife",4,8,-0.179899047712773
"ife",4,9,0.130208169616179
"ife",5,0,0.479564395685528
"ife",5,1,0.904005109619842
"ife",5,2,1.03400193660394
"ife",5,3,0.823233370623784
"ife",5,4,0.317624921664074
"ife",5,5,-0.17214719753427
"ife",5,6,-0.460511634467267
"ife",5,7,-0.316798539388228
"ife",5,8,0.145450098064492
"ife",5,9,0.838923838190765
"ife",6,0,0.703357781711732
"ife",6,1,1.16365990978143
"ife",6,2,1.312532385804
"ife",6,3,1.15769377930961
"ife",6,4,0.791985129346634
"ife",6,5,0.49708790948779
"ife",6,6,0.397746628466683
"ife",6,7,0.657704758361036
"ife",6,8,1.11363300259991
"ife",6,9,1.73527298065909
"ife",7,0,0.435198751852995
"ife",7,1,0.555670229165567
"ife",7,2,0.718108382279393
"ife",7,3,0.959854204578771
"ife",7,4,1.29397527919715
"ife",7,5,1.62545479664463
"ife",7,6,2.0254993349043
"ife",7,7,2.31002595432947
"ife",7,8,2.41894519183207
"ife",7,9,2.42359357359846
"ife",8,0,0.213262608793725
"ife",8,1,0.170175485078199
"ife",8,2,0.356516691345658
"ife",8,3,0.872793150168677
"ife",8,4,1.7266145215184
"ife",8,5,2.58284448377202
"ife",8,6,3.43004761449802
"ife",8,7,3.82807133596513
"ife",8,8,3.73324002864206
"ife",8,9,3.32377103719282
"ife",9,0,0.463430529125287
"ife",9,1,0.594141563601108
"ife",9,2,0.806750083128764
"ife",9,3,1.28008794087283
"ife",9,4,2.12551146603027
"ife",9,5,3.08812695335767
"ife",9,6,4.07518105647403
"ife",9,7,4.65495628697017
"ife",9,8,4.66738245446289
"ife",9,9,4.34953727560236
"ife",10,0,1.16343918410614
"ife",10,1,1.76271518974015
"ife",10,2,2.00050185003034
"ife",10,3,2.13831979069592
"ife",10,4,2.4807089723345
"ife",10,5,3.1436165735668
"ife",10,6,3.96445613026453
"ife",10,7,4.76715764483521
"ife",10,8,5.16525689549873
"ife",10,9,5.40220459322171
"ife",11,0,1.98001080197941
"ife",11,1,2.79193272119463
"ife",11,2,3.02653691104641
"ife",11,3,2.94174512255809
"ife",11,4,2.90207388479462
"ife",11,5,3.24122284658329
"ife",11,6,3.81273655779396
"ife",11,7,4.63111601263279
"ife",11,8,5.23513322610543
"ife",11,9,5.8223754595663
"MCPanel",0,0,-1.03677789535626
"MCPanel",0,1,-1.14020145439487
"MCPanel",0,2,-1.10821510746444
"MCPanel",0,3,-1.24100837430115
"MCPanel",0,4,-1.73824114531787
"MCPanel",0,5,-2.53265154450168
"MCPanel",0,6,-3.27597376070505
"MCPanel",0,7,-3.62845172534517
"MCPanel",0,8,-3.48531599888019
"MCPanel",0,9,-3.08264851773616
"MCPanel",1,0,-1.34434997926644
"MCPanel",1,1,-1.73819144708114
"MCPanel",1,2,-1.66296449240665
"MCPanel",1,3,-1.35241357633204
"MCPanel",1,4,-1.28882937628046
"MCPanel",1,5,-1.4634684373255
"MCPanel",1,6,-1.68640213030462
"MCPanel",1,7,-2.05605220770181
"MCPanel",1,8,-2.20183251058132
"MCPanel",1,9,-2.22899875623735
"MCPanel",2,0,-1.45746371468002
"MCPanel",2,1,-1.93926279278499
"MCPanel",2,2,-1.79050162847757
"MCPanel",2,3,-1.38335101473215
"MCPanel",2,4,-0.79924693261186
"MCPanel",2,5,-0.609729060352663
"MCPanel",2,6,-0.465624471765114
"MCPanel",2,7,-0.795383120679319
"MCPanel",2,8,-1.03599446218046
"MCPanel",2,9,-1.52863116601003
"MCPanel",3,0,-1.02828949450957
"MCPanel",3,1,-1.20784896851256
"MCPanel",3,2,-1.18041805750538
"MCPanel",3,3,-0.795105435261359
"MCPanel",3,4,-0.39397676981053
"MCPanel",3,5,-0.276799019992265
"MCPanel",3,6,-0.139156598405493
"MCPanel",3,7,-0.294390386530147
"MCPanel",3,8,-0.493711078045715
"MCPanel",3,9,-0.651924056591038
"MCPanel",4,0,-0.202744880172554
"MCPanel",4,1,-0.0571668594945199
"MCPanel",4,2,0.106353826712959
"MCPanel",4,3,0.134455710650978
"MCPanel",4,4,-0.0268370570598758
"MCPanel",4,5,-0.281722081640529
"MCPanel",4,6,-0.396991682235068
"MCPanel",4,7,-0.373046111878256
"MCPanel",4,8,-0.161033691122127
"MCPanel",4,9,0.0926102106147001
"MCPanel",5,0,0.472244213038966
"MCPanel",5,1,0.887828418125486
"MCPanel",5,2,1.01626839690421
"MCPanel",5,3,0.812267249494191
"MCPanel",5,4,0.333688710664743
"MCPanel",5,5,-0.152216822950684
"MCPanel",5,6,-0.428536734224373
"MCPanel",5,7,-0.30960793626393
"MCPanel",5,8,0.138114187831365
"MCPanel",5,9,0.823296616442693
"MCPanel",6,0,0.684985244671941
"MCPanel",6,1,1.15552539812914
"MCPanel",6,2,1.3043105763317
"MCPanel",6,3,1.15944952662463
"MCPanel",6,4,0.823798854925561
"MCPanel",6,5,0.515646569411441
"MCPanel",6,6,0.43503701591064
"MCPanel",6,7,0.649670518164448
"MCPanel",6,8,1.09739296720482
"MCPanel",6,9,1.70485759415358
"MCPanel",7,0,0.441584217778016
"MCPanel",7,1,0.556095040156586
"MCPanel",7,2,0.693942501650673
"MCPanel",7,3,1.00669827395434
