"family","setting","frame","outcome","rmse","rmse_mcse","mean_bias","mean_absolute_bias","n","n_total"
"classic_factor","NN=200;a=0","aug-d-balance","fe",0.0762779263967247,0.00348995547101688,0.00400654098798114,0.0621140309089733,200,200
"classic_factor","NN=200;a=0","aug-d-balance","gsynth",0.0746130965543328,0.0034320419083427,0.0046269960715122,0.0597709637426216,200,200
"classic_factor","NN=200;a=0","aug-d-balance","ife",0.0938890182520936,0.00916829213699529,0.00881254954057201,0.0680195999382092,200,200
"classic_factor","NN=200;a=0","aug-d-balance","MCPanel",0.0747298130132782,0.00339332724062395,0.00345783893247025,0.0603577489311262,200,200
"classic_factor","NN=200;a=0","aug-d-balance","VAR",0.142364965316842,0.00803763122977338,0.00192401358533851,0.111424536477999,200,200
"classic_factor","NN=200;a=0","aug-d-balance (individual)","fe",0.0740928790031568,0.00336585140103821,0.00382123530988327,0.060305222293401,200,200
"classic_factor","NN=200;a=0","aug-d-balance (individual)","gsynth",0.071488959283316,0.0033022644565972,0.00414589543698554,0.0575515748315121,200,200
"classic_factor","NN=200;a=0","aug-d-balance (individual)","ife",0.09102396928744,0.00920776866318037,0.00841813033934797,0.0659570092997131,200,200
"classic_factor","NN=200;a=0","aug-d-balance (individual)","MCPanel",0.0723556263298134,0.00325403225186567,0.00282218973615988,0.0588471310039659,200,200
"classic_factor","NN=200;a=0","aug-d-balance (individual)","VAR",0.137834615467442,0.00770473862988674,0.00193789880987804,0.108049059934523,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual individual)","fe",0.0740856215873438,0.0033654369750598,0.00382240475647555,0.0603007897473618,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual individual)","gsynth",0.0549022296727083,0.00271496895555865,0.00337641024157989,0.0445228996396384,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual individual)","ife",0.0771400692954363,0.0110285412517839,0.00801531082155124,0.0529297756418838,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual individual)","MCPanel",0.0840313690953817,0.0040992920230512,-0.00318657751307567,0.0677222387716029,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual individual)","VAR",0.12617337144364,0.00660274690664076,-0.00244446067161124,0.100694210384187,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual)","fe",0.0762601844672023,0.00348924082122383,0.00400937629939812,0.0620989380984218,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual)","gsynth",0.0552153352661451,0.00271338503209465,0.00322484839456868,0.045323294769758,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual)","ife",0.0772576803525344,0.0109126786775623,0.00796862307803576,0.0537921705041612,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual)","MCPanel",0.0813141686696839,0.00389919321674254,-0.00267548355670335,0.0656565477750552,200,200
"classic_factor","NN=200;a=0","aug-d-balance (residual)","VAR",0.120729576279495,0.00642051481930566,-0.00267780240613225,0.0967853595853156,200,200
"classic_factor","NN=200;a=0","d-balance","fe",0.076277926396759,0.00348995547099565,0.00400654098824948,0.0621140309089202,200,200
"classic_factor","NN=200;a=0","d-balance","gsynth",0.076277926396759,0.00348995547099565,0.00400654098824948,0.0621140309089202,200,200
"classic_factor","NN=200;a=0","d-balance","ife",0.076277926396759,0.00348995547099565,0.00400654098824948,0.0621140309089202,200,200
"classic_factor","NN=200;a=0","d-balance","MCPanel",0.076277926396759,0.00348995547099565,0.00400654098824948,0.0621140309089202,200,200
"classic_factor","NN=200;a=0","d-balance","VAR",0.076277926396759,0.00348995547099565,0.00400654098824948,0.0621140309089202,200,200
"classic_factor","NN=200;a=0","outcome","fe",0.417777580209507,0.0214090083152518,-0.0347343805354002,0.338038883516279,200,200
"classic_factor","NN=200;a=0","outcome","gsynth",0.0542569108162915,0.00268703033105756,0.00301677610509521,0.04390563183098,200,200
"classic_factor","NN=200;a=0","outcome","ife",0.0769564700369764,0.0112081556960205,0.0076709922583703,0.0521787817644228,200,200
"classic_factor","NN=200;a=0","outcome","MCPanel",0.0875723390446454,0.00434815812809834,-0.00384713179508943,0.0700034697806108,200,200
"classic_factor","NN=200;a=0","outcome","VAR",0.147811148486045,0.00831320346113884,-0.00333613490672617,0.118154907688379,200,200
"classic_factor","NN=200;a=0","u-balance","fe",0.0642329263762733,0.00306616506879969,-0.000313726041822319,0.0515116367091168,200,200
"classic_factor","NN=200;a=0","u-balance","gsynth",0.0642329263762733,0.00306616506879969,-0.000313726041822319,0.0515116367091168,200,200
"classic_factor","NN=200;a=0","u-balance","ife",0.0642329263762733,0.00306616506879969,-0.000313726041822319,0.0515116367091168,200,200
"classic_factor","NN=200;a=0","u-balance","MCPanel",0.0642329263762733,0.00306616506879969,-0.000313726041822319,0.0515116367091168,200,200
"classic_factor","NN=200;a=0","u-balance","VAR",0.0642329263762733,0.00306616506879969,-0.000313726041822319,0.0515116367091168,200,200
"classic_factor","NN=200;a=1","aug-d-balance","fe",0.614613298509424,0.0151475645420427,0.575515473075996,0.575515473075996,200,200
"classic_factor","NN=200;a=1","aug-d-balance","gsynth",0.146566197642119,0.00702181298089245,0.042333335503383,0.119828820502548,200,200
"classic_factor","NN=200;a=1","aug-d-balance","ife",1.62194329519566,0.0922448193977242,1.05919883865085,1.0890057585597,200,200
"classic_factor","NN=200;a=1","aug-d-balance","MCPanel",1.58122936570773,0.028919034363186,1.5294033643607,1.5294033643607,200,200
"classic_factor","NN=200;a=1","aug-d-balance","VAR",1.04201124765582,0.0276029257197489,0.950056834336823,0.960176190605453,200,200
"classic_factor","NN=200;a=1","aug-d-balance (individual)","fe",0.519252330498869,0.0159460730098902,0.465319051239012,0.467405813957937,200,200
"classic_factor","NN=200;a=1","aug-d-balance (individual)","gsynth",0.171072129996673,0.00887701501140222,0.0358093385145573,0.136452270575426,200,200
"classic_factor","NN=200;a=1","aug-d-balance (individual)","ife",1.61651709699597,0.0922210848441471,1.05408498014694,1.09462628858364,200,200
"classic_factor","NN=200;a=1","aug-d-balance (individual)","MCPanel",1.52947394054697,0.0288935291588214,1.47580939592791,1.47580939592791,200,200
"classic_factor","NN=200;a=1","aug-d-balance (individual)","VAR",1.04708931912427,0.0273669644496292,0.958982567014471,0.967621988018361,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual individual)","fe",0.516311467799327,0.0160399186494489,0.461398318705874,0.463756411844167,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual individual)","gsynth",0.0891165172355088,0.00469398075362983,0.00944217706188413,0.0703010334187138,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual individual)","ife",1.61270157720145,0.092633673131683,1.03543591569011,1.0634321598265,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual individual)","MCPanel",2.35448095153652,0.0299186003240185,2.3167324552249,2.3167324552249,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual individual)","VAR",1.22386289377916,0.0262784810136819,1.1595337469715,1.16004520694567,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual)","fe",0.607787633896574,0.0151223210030975,0.568204856271287,0.568204856271287,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual)","gsynth",0.0897860196406337,0.00467367266211218,0.00884921294825837,0.0711031421526915,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual)","ife",1.61253679549048,0.0925725781186768,1.03546917532628,1.06384656863415,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual)","MCPanel",2.24264833136277,0.029049033807661,2.20556587199586,2.20556587199586,200,200
"classic_factor","NN=200;a=1","aug-d-balance (residual)","VAR",1.15166376688594,0.0257550309935659,1.08629014824202,1.08791319057525,200,200
"classic_factor","NN=200;a=1","d-balance","fe",0.614613298510154,0.0151475645426816,0.575515473075018,0.575515473075018,200,200
"classic_factor","NN=200;a=1","d-balance","gsynth",0.614613298510154,0.0151475645426816,0.575515473075018,0.575515473075018,200,200
"classic_factor","NN=200;a=1","d-balance","ife",0.614613298510154,0.0151475645426816,0.575515473075018,0.575515473075018,200,200
"classic_factor","NN=200;a=1","d-balance","MCPanel",0.614613298510154,0.0151475645426816,0.575515473075018,0.575515473075018,200,200
"classic_factor","NN=200;a=1","d-balance","VAR",0.614613298510154,0.0151475645426816,0.575515473075018,0.575515473075018,200,200
"classic_factor","NN=200;a=1","outcome","fe",6.74526039240468,0.0316441075699058,6.73036677553136,6.73036677553136,200,200
"classic_factor","NN=200;a=1","outcome","gsynth",0.0883730599149826,0.00463082617103677,0.0096804194952319,0.0687985821921414,200,200
"classic_factor","NN=200;a=1","outcome","ife",1.61265947900622,0.0926352670898286,1.03519401457251,1.06323871061993,200,200
"classic_factor","NN=200;a=1","outcome","MCPanel",2.38194985215933,0.0299948965585072,2.34450692857819,2.34450692857819,200,200
"classic_factor","NN=200;a=1","outcome","VAR",1.45941918992697,0.0296491530783488,1.3905367109642,1.3905367109642,200,200
"classic_factor","NN=200;a=1","u-balance","fe",2.39301594710421,0.0326442792400016,2.34973810788154,2.34973810788154,200,200
"classic_factor","NN=200;a=1","u-balance","gsynth",2.39301594710421,0.0326442792400016,2.34973810788154,2.34973810788154,200,200
"classic_factor","NN=200;a=1","u-balance","ife",2.39301594710421,0.0326442792400016,2.34973810788154,2.34973810788154,200,200
"classic_factor","NN=200;a=1","u-balance","MCPanel",2.39301594710421,0.0326442792400016,2.34973810788154,2.34973810788154,200,200
"classic_factor","NN=200;a=1","u-balance","VAR",2.39301594710421,0.0326442792400016,2.34973810788154,2.34973810788154,200,200
"weak_factor","NN=200;a=0","aug-d-balance","fe",0.0660381734074871,0.00293640679655292,-0.00515504573077899,0.0542599301661238,200,200
"weak_factor","NN=200;a=0","aug-d-balance","gsynth",0.0601254264722686,0.00269036906484082,-0.0051516053281183,0.0491828706380114,200,200
"weak_factor","NN=200;a=0","aug-d-balance","ife",0.059901249460317,0.00270971034886192,-0.00508786321402619,0.0489761040360698,200,200
"weak_factor","NN=200;a=0","aug-d-balance","MCPanel",0.061989134581469,0.0026774219196461,-0.00541751137512318,0.0510227178705631,200,200
"weak_factor","NN=200;a=0","aug-d-balance","VAR",0.0935053857026432,0.00465554472686748,0.000191519496517217,0.0750003544704725,200,200
"weak_factor","NN=200;a=0","aug-d-balance (individual)","fe",0.0626579968232655,0.00269922492466804,-0.00455947045981682,0.0518160152321882,200,200
